#{"t_start": 1767956539.4536495, "env_id": "highway-v0"}
r,l,t
1.458783,25,4169.111772
0.794227,40,4201.195763
4.001505,40,4230.312526
5.051314,40,4249.684885
-2.69848,22,4260.253852
-3.457021,11,4265.581315
2.750214,40,4300.459835
-1.550067,9,4308.769637
-1.55127,16,4321.537758
-0.801527,19,4336.472763
0.792766,40,4364.776931
2.301228,40,4392.002223
-3.955773,15,4400.696944
-3.699726,21,4415.290106
-1.5833,38,4444.807506
1.051528,40,4478.673306
-2.992442,27,4499.259936
0.292979,23,4514.942098
1.301528,40,4539.622659
2.051272,40,4563.350057
0.198473,31,4586.206123
-1.501496,33,4610.65287
-4.292722,3,4612.125811
1.207535,40,4637.111755
-4.326665,10,4645.843019
5.292979,40,4673.925137
2.008804,40,4700.72453
-3.744732,3,4703.804316
-3.913346,5,4707.134737
-2.751248,9,4712.592126
2.542978,40,4738.815078
0.801528,40,4764.629307
-1.700021,11,4771.996622
-3.542465,12,4780.174258
-2.801476,9,4786.889792
0.19997,16,4797.17082
2.301484,40,4830.988212
2.301271,40,4862.195796
-4.240434,3,4864.147674
3.499993,40,4887.586107
3.551528,40,4908.063676
-2.249743,27,4921.686309
6.551491,40,4941.801663
1.301528,40,4962.456058
-3.549767,8,4968.737071
-3.450014,8,4974.934496
1.54251,40,5003.656227
2.800017,40,5032.492742
-0.542722,22,5051.685483
-3.791217,13,5063.701242
-3.413287,5,5067.203171
-1.151494,31,5091.331795
0.801528,40,5125.587418
-1.207278,20,5137.676058
-1.999743,40,5168.016221
3.241452,40,5200.667964
2.79419,40,5226.20395
-4.25,4,5228.97571
2.750008,40,5261.668529
-4.25,4,5265.538501
1.551526,40,5299.451586
5.241203,40,5329.272995
0.051528,40,5364.236496
1.301528,40,5400.090397
1.801528,40,5437.772558
5.051527,40,5474.14645
-3.051484,5,5478.910694
-2.583143,38,5509.511415
-4.041219,8,5516.769156
0.544227,40,5547.631591
-2.749956,37,5579.355519
1.801485,40,5600.971082
-1.707534,31,5616.68972
0.051528,40,5636.94554
1.551527,40,5666.504849
-1.551526,30,5681.97559
0.801528,40,5702.984131
-1.999957,34,5720.586273
-1.198524,35,5738.297889
0.301528,40,5759.744867
-1.992699,22,5779.320771
1.051528,40,5809.58167
2.051528,40,5835.698736
1.801528,40,5865.138491
-4.948474,7,5871.55339
-0.29998,33,5900.041029
1.448472,17,5915.986621
-1.326698,12,5928.096087
1.30003,40,5965.51863
4.25025,40,5995.039631
-3.051484,5,5999.504272
2.051528,40,6034.118511
1.301527,40,6067.421173
3.051527,40,6101.905605
3.542722,40,6134.508737
2.551527,40,6169.067985
-3.549766,17,6181.491642
-3.741231,19,6197.042206
4.551528,40,6227.56477
-3.448474,35,6254.559868
1.551528,40,6285.668928
0.551528,40,6315.758087
2.051528,40,6344.104571
-3.207278,30,6370.430073
